>
# @D(90,,)|(180.0,,)|UCF_9|UCERF3||(11.0,,)|"Ortigalita (South)"|(1.23,0.35,2.75)|Dextral|(0.0,,)|||||||||||||
# @D(90,,)|(180.0,,)|UCF_99|UCERF3||(13.1000003814697,,)|"San Jacinto (Borrego)"|(5.03,2.3,8.15)|Dextral|(0.0,,)|||||||||||||
-116.205 33.2066
-116.164 33.1822
-116.129 33.1434
-116.058 33.0976
-116.011 33.0297
-115.943 33.001
>
# @D(90,,)|(180.0,,)|UCF_101|UCERF3||(15.8999996185302,,)|"San Jacinto (Coyote Creek)"|(5.81,2.06,8.44)|Dextral|(0.0,,)|||||||||||||
-116.543 33.4688
-116.47 33.4204
-116.283 33.2636
-116.205 33.2066
>
# @D(84,,)|(180.0,,)|UCF_102|UCERF3|NE|(18.7999992370605,,)|"Elsinore (Julian)"|(1.87,0.83,2.72)|Dextral|(0.0,,)|||||||||||||
-116.355681 32.949652
-116.407007 32.98262
-116.460233 33.010878
-116.519163 33.04934
-116.628 33.1225
-116.690249 33.178071
-116.729217 33.208684
-116.791 33.2465
-116.844 33.279
-116.952 33.332
-117.0082 33.3409
>
# @D(82,,)|(180.0,,)|UCF_103|UCERF3|NE|(13.1999998092651,,)|"Elsinore (Coyote Mountains)"|(1.62,0.84,3.09)|Dextral|(0.0,,)|||||||||||||
-116.006 32.779
-116.099 32.8144
-116.178 32.8377
-116.230217 32.889212
-116.264437 32.930814
-116.336673 32.974771
>
# @D(90,,)|(180.0,,)|UCF_104|UCERF3||(13.3000001907348,,)|"Laguna Salada"|(1.82,0.42,2.92)|Normal-Dextral|(0.0,,)|||||||||||||
-115.099 32.1608
-115.2 32.2014
-115.244 32.222
-115.287 32.2432
-115.327 32.263
-115.4 32.2883
-115.72 32.5449
-115.808 32.5919
-115.84 32.6628
-115.883 32.7271
>
# @D(90,,)|(180.0,,)|UCF_109|UCERF3||(13.6000003814697,,)|"Palos Verdes"|(2.27,1.34,3.28)|Dextral|(0.0,,)|||||||||||||
-117.85949 33.22678
-117.917 33.2798
-117.943 33.3184
-117.986 33.3546
-118.06 33.4428
-118.08 33.4816
-118.119 33.5449
-118.146 33.5835
-118.233 33.6919
-118.254 33.7472
-118.334 33.7895
-118.4 33.8175
-118.439 33.8637
-118.496 33.9021
-118.557 33.9702
>
# @D(90,,)|(180.0,,)|UCF_121|UCERF3||(8.60000038146972,,)|"Coronado Bank alt2"|(1.64,0.35,3.26)|Dextral|(0.0,,)|||||||||||||
-117.85949 33.22678
-117.838 33.2066
-117.742 33.0732
-117.687 33.0269
-117.616 32.952
-117.574 32.9251
-117.52 32.8655
-117.507 32.8085
-117.467 32.7524
-117.433 32.7235
-117.413 32.6786
-117.344 32.6238
-117.315 32.594
-117.298 32.5519
-117.266 32.4949
-116.84 31.89
>
# @D(90,,)|(180.0,,)|UCF_122|UCERF3||(10.1999998092651,,)|"Newport-Inglewood (Offshore)"|(0.99,0.53,1.78)|Dextral|(0.0,,)|||||||||||||
-117.91455 33.59104
-117.79886 33.50804
-117.68819 33.40241
-117.54735 33.2515
-117.48698 33.21629
-117.42914 33.15593
>
# @D(90,,)|(-180.0,,)|UCF_123|UCERF3||(7.69999980926513,,)|"Rose Canyon"|(1.42,0.83,1.89)|Dextral|(0.0,,)|||||||||||||
-117.14623 32.53385
-117.150521 32.60327
-117.165444 32.647766
-117.162085 32.709887
-117.170444 32.729042
-117.197599 32.759508
-117.20996 32.801083
-117.241287 32.835482
-117.263572 32.854538
-117.325147 33.018883
-117.399 33.105
-117.41 33.124
-117.4355 33.141
>
# @D(90,,)|(180.0,,)|UCF_144|UCERF3||(13.0,,)|"Little Lake"|(0.7,0.47,1.06)|Dextral|(0.0,,)|||||||||||||
-117.647489 35.605158
-117.809069 35.811263
-117.88341 35.906877
-117.91253 35.93426
>
# @D(90,,)|(180.0,,)|UCF_160|UCERF3||(12.3999996185302,,)|"Goldstone Lake"|(0.73,0.01,3.06)|Dextral|(0.0,,)|||||||||||||
-116.73919 35.22503
-116.75886 35.23994
-116.77161 35.25658
-116.79599 35.31392
-116.81729 35.33188
-116.83377 35.36295
-116.83531 35.39488
-116.86464 35.41766
-116.89722 35.42644
-116.91536 35.44744
-116.94742 35.46714
>
# @D(90,,)|(180.0,,)|UCF_161|UCERF3||(11.6999998092651,,)|"Red Pass"|(0.16,0.01,0.57)|Dextral|(0.0,,)|||||||||||||
-116.356139 35.243809
-116.300441 35.171611
-116.180845 35.065611
>
# @D(90,,)|(180.0,,)|UCF_162|UCERF3||(13.3999996185302,,)|Paradise|(0.75,0.33,4.47)|Dextral|(0.0,,)|||||||||||||
-116.77996 34.92533
-116.78978 35.03095
-116.80941 35.05285
-116.88305 35.24799
-116.88668 35.32016
-116.91541 35.40109
>
# @D(90,,)|(180.0,,)|UCF_166|UCERF3||(11.1000003814697,,)|Ludlow|(0.41,0.24,1.51)|Dextral|(0.0,,)|||||||||||||
-116.249845 34.95961
-116.202447 34.906711
-116.216647 34.823711
-116.188248 34.78341
-116.16055 34.70521
-115.86622 34.43188
>
# @D(90,,)|(180.0,,)|UCF_167|UCERF3||(14.6000003814697,,)|"Hector Mine"|(0.75,0.23,2.47)|Dextral|(0.0,,)|||||||||||||
-116.376742 34.715154
-116.356436 34.659556
-116.313158 34.604367
-116.268631 34.560438
-116.25713 34.49116
>
# @D(90,,)|(180.0,,)|UCF_168|UCERF3||(13.3000001907348,,)|"Joshua Tree (Seismicity)"|(0.06,0.01,0.21)|Dextral|(0.0,,)|||||||||||||
-116.297252 34.084515
-116.318152 34.024915
-116.319952 33.986815
-116.300254 33.932314
>
# @D(90,,)|(180.0,,)|UCF_170|UCERF3||(13.1999998092651,,)|"Brawley (Seismic Zone) alt 1"|(21.34,17.53,25.04)|Dextral|(0.0,,)|||||||||||||
-115.77745 33.402014
-115.553226 32.897084
>
# @D(90,,)|(180.0,,)|UCF_171|UCERF3||(13.1999998092651,,)|"Brawley (Seismic Zone) alt 2"|(18.78,13.28,22.49)|Dextral|(0.0,,)|||||||||||||
-115.705973 33.345023
-115.479833 32.957356
-115.476202 32.910679
-115.486966 32.840735
>
# @D(90,,)|(180.0,,)|UCF_172|UCERF3||(14.3000001907348,,)|"Cerro Prieto"|(10.84,1.33,21.62)|Dextral|(0.0,,)|||||||||||||
-115.612139 32.650793
-115.376129 32.467296
-115.341379 32.439508
