>
# @D(60,,)||AUS_457581|AUS_FSD|E||"Redbanks Fault"|(0.018,0.0,0.037)|Strike-Slip||Fault_slip_rates_A.doc||||||||||||
# @D(70,,)||AUS_572539|AUS_FSD|||"Poatina Scarp"|(0.002,0.0,0.004)|Strike-Slip||"Nullarbor Fault database.doc"||||||||||||
147.143482394924 -41.8480182985547
147.115286690836 -41.83097549223
147.093883213065 -41.815082815218
147.080814210405 -41.8042963092925
147.069397912594 -41.795309011035
147.057467861817 -41.782013762998
147.046889185318 -41.7736099496775
147.030380586064 -41.7653420071886
147.020684198287 -41.761511863411
147.012802226508 -41.7585501529864
147.005272328163 -41.7506154221314
146.994665697169 -41.7457574230247
146.972804702988 -41.7417900566978
146.95742103975 -41.7397658905533
>
# @D(90,,)||AUS_603206|AUS_FSD|V||"West Australian Shear Zone (Long Island Fault)"|(0.025,0.0,0.05)|Strike-Slip||"midrange between Cape Range and Giralia faults from Whitney et al (2016)"||||||||||||
115.105927425 -21.5108489479999
115.012131947 -21.5488042299999
114.923545288 -21.5750048779999
114.826883217 -21.6009660859999
114.802163767 -21.6147120179999
114.723130091 -21.6121837749999
114.651916821 -21.6098888619999
114.526165972 -21.591256863
114.454668972 -21.5889426819999
114.35920316 -21.585829295
114.271595465 -21.582924071
>
# @D(90,,)||AUS_603206|AUS_FSD|V||"West Australian Shear Zone (Flinders Fault)"|(0.025,0.0,0.05)|Strike-Slip||"midrange between Cape Range and Giralia faults from Whitney et al (2016)"||||||||||||
115.912646096273 -20.5640176611571
115.876564267633 -20.6629083345768
115.771424694663 -20.8886375847678
115.658495646634 -21.1003760272903
115.583990501029 -21.1770984099899
115.47085388798 -21.2978744673229
115.336573363557 -21.3926960456874
115.181854667134 -21.4817569071944
115.105927425 -21.5108489479999
>
# @D(84,,)||AUS_603206|AUS_FSD|S||"West Australian Shear Zone (Barrow Is Flt)"|(0.01,0.0,0.02)|Strike-Slip||"normal fault - 100m vertical across base Cenozoic Whitney et al. (2016) tectonophys"||||||||||||
115.228166409763 -20.8927643936959
115.33210238139 -20.8654714836656
115.428962722914 -20.8330142186807
115.487633588286 -20.8152857486187
115.544423194282 -20.7945651334414
>
# @D(61,,)||AUS_603206|AUS_FSD|N||"West Australian Shear Zone (Dampier Flt NS)"|(0.2,0.0,0.4)|Strike-Slip||"normal-oblique fault, average values from Whitney et al (2016) - PATA"||||||||||||
118.002362740771 -19.3957934527846
117.867360958584 -19.3918214720363
117.732079364939 -19.394823399977
117.567189056676 -19.3826448323175
117.305265839583 -19.3459160502955
117.162365484683 -19.3411792932882
117.07206221339 -19.3381291913645
>
# @D(80,,)||AUS_603206|AUS_FSD|NW||"West Australian Shear Zone (Inner basin SZ)"|(0.13,0.0,0.26)|Strike-Slip||"Hengesh & Whitney (2016)"||||||||||||
123.558219092416 -12.8086148591322
123.479696879224 -12.8419273132128
123.408313049049 -12.8752397672935
123.329790835856 -12.9275879094202
123.227474012606 -12.9680387465181
123.146572338407 -12.9965922785872
122.682815388371 -13.1947537911468
